	Date	Volume	Turnover	Open	High	Low	Close	Diff	Count	ds	Adj. Close	Adj. Open	y	Daily Change
1244	2013-02-25	37,216,683	3,938,987,715	106.5	107.0	105.0	105.0	-2.00	8,564	2013-02-25	105.0	106.5	105.0	-1.5
1245	2013-02-26	38,498,610	4,006,611,594	103.5	105.0	102.5	103.5	-1.50	9,572	2013-02-26	103.5	103.5	103.5	0.0
1246	2013-02-27	81,358,059	8,385,327,394	102.0	104.5	101.0	104.5	+1.00	13,654	2013-02-27	104.5	102.0	104.5	2.5
1247	2013-03-01	35,081,170	3,651,664,826	103.0	105.0	102.5	105.0	+0.50	9,263	2013-03-01	105.0	103.0	105.0	2.0
1248	2013-03-04	55,265,946	5,652,060,892	104.5	104.5	101.5	102.0	-3.00	11,896	2013-03-04	102.0	104.5	102.0	-2.5
1249	2013-03-05	56,213,527	5,798,480,893	103.5	104.0	102.5	104.0	+2.00	9,603	2013-03-05	104.0	103.5	104.0	0.5
1250	2013-03-06	38,026,322	3,944,092,785	104.0	104.5	103.0	104.0	 0.00	6,844	2013-03-06	104.0	104.0	104.0	0.0
1251	2013-03-07	20,783,572	2,150,594,416	103.5	104.0	103.0	103.0	-1.00	6,812	2013-03-07	103.0	103.5	103.0	-0.5
1252	2013-03-08	46,036,003	4,753,123,583	103.0	104.5	102.0	103.5	+0.50	8,598	2013-03-08	103.5	103.0	103.5	0.5
1253	2013-03-11	36,093,271	3,706,837,142	102.0	104.0	102.0	102.0	-1.50	9,071	2013-03-11	102.0	102.0	102.0	0.0
1254	2013-03-12	30,064,912	3,075,447,024	102.0	103.0	101.5	102.5	+0.50	6,294	2013-03-12	102.5	102.0	102.5	0.5
1255	2013-03-13	57,955,306	6,009,069,324	102.5	105.0	102.0	104.5	+2.00	9,978	2013-03-13	104.5	102.5	104.5	2.0
1256	2013-03-14	33,067,465	3,435,727,588	104.0	104.5	103.0	104.0	-0.50	7,022	2013-03-14	104.0	104.0	104.0	0.0
1257	2013-03-15	35,632,988	3,696,617,211	105.0	105.0	103.0	103.0	-1.00	6,030	2013-03-15	103.0	105.0	103.0	-2.0
1258	2013-03-18	44,188,807	4,472,705,507	102.0	102.0	100.5	100.5	-2.50	11,128	2013-03-18	100.5	102.0	100.5	-1.5
1259	2013-03-19	50,765,167	5,104,261,200	101.0	101.5	99.6	100.0	-0.50	11,099	2013-03-19	100.0	101.0	100.0	-1.0
1260	2013-03-20	64,024,225	6,344,606,455	99.5	99.5	98.8	98.8	-1.20	13,861	2013-03-20	98.8	99.5	98.8	-0.7000000000000028
1261	2013-03-21	58,467,748	5,799,884,434	98.8	100.5	98.7	98.7	-0.10	13,448	2013-03-21	98.7	98.8	98.7	-0.09999999999999432
1262	2013-03-22	44,937,030	4,420,118,840	98.6	99.1	98.0	98.0	-0.70	12,072	2013-03-22	98.0	98.6	98.0	-0.5999999999999943
1263	2013-03-25	25,469,505	2,540,453,602	99.9	100.5	99.2	99.5	+1.50	7,606	2013-03-25	99.5	99.9	99.5	-0.4000000000000057
1264	2013-03-26	27,220,058	2,698,733,342	99.2	99.4	98.8	99.0	-0.50	8,019	2013-03-26	99.0	99.2	99.0	-0.20000000000000284
1265	2013-03-27	29,969,023	2,992,059,750	99.0	100.5	98.8	100.5	+1.50	7,304	2013-03-27	100.5	99.0	100.5	1.5
1266	2013-03-28	29,558,310	2,945,126,900	100.0	100.5	99.3	100.0	-0.50	7,232	2013-03-28	100.0	100.0	100.0	0.0
1267	2013-03-29	19,003,253	1,907,250,000	100.0	101.0	99.8	100.5	+0.50	5,024	2013-03-29	100.5	100.0	100.5	0.5
1268	2013-04-01	16,374,716	1,657,592,413	101.0	102.0	100.5	101.0	+0.50	4,450	2013-04-01	101.0	101.0	101.0	0.0
1269	2013-04-02	22,334,113	2,242,499,100	100.5	101.0	99.8	100.5	-0.50	6,500	2013-04-02	100.5	100.5	100.5	0.0
1270	2013-04-03	27,097,381	2,731,161,500	101.5	101.5	100.0	100.5	 0.00	6,886	2013-04-03	100.5	101.5	100.5	-1.0
1271	2013-04-08	58,367,917	5,768,632,279	99.0	99.5	98.5	98.5	-2.00	11,496	2013-04-08	98.5	99.0	98.5	-0.5
1272	2013-04-09	41,316,418	4,045,349,536	98.0	98.5	97.5	97.5	-1.00	10,389	2013-04-09	97.5	98.0	97.5	-0.5
1273	2013-04-10	36,746,778	3,604,766,222	98.8	98.8	97.7	98.3	+0.80	7,197	2013-04-10	98.3	98.8	98.3	-0.5
