	Date	Volume	Turnover	Open	High	Low	Close	Diff	Count	ds	Adj. Close	Adj. Open	y	Daily Change
485	2015-10-23	35,666,256	4,984,092,182	140.0	140.5	139.0	140.0	+2.50	13,889	2015-10-23	140.0	140.0	140.0	0.0
486	2015-10-26	24,412,462	3,416,504,880	140.5	140.5	139.0	140.0	 0.00	8,837	2015-10-26	140.0	140.5	140.0	-0.5
487	2015-10-27	26,557,567	3,679,734,913	138.5	140.0	137.5	139.0	-1.00	6,719	2015-10-27	139.0	138.5	139.0	0.5
488	2015-10-28	22,557,317	3,104,131,564	137.0	139.0	137.0	138.0	-1.00	7,911	2015-10-28	138.0	137.0	138.0	1.0
489	2015-10-29	20,463,741	2,815,951,517	139.0	139.5	136.5	136.5	-1.50	6,452	2015-10-29	136.5	139.0	136.5	-2.5
490	2015-10-30	28,293,017	3,870,125,863	137.0	137.5	136.0	136.5	 0.00	6,840	2015-10-30	136.5	137.0	136.5	-0.5
491	2015-11-02	22,789,011	3,118,360,787	138.5	138.5	135.5	137.5	+1.00	7,961	2015-11-02	137.5	138.5	137.5	-1.0
492	2015-11-03	36,442,564	5,082,111,090	138.5	140.0	138.0	139.5	+2.00	12,148	2015-11-03	139.5	138.5	139.5	1.0
493	2015-11-04	75,685,074	10,841,451,697	141.5	144.5	141.0	144.5	+5.00	27,863	2015-11-04	144.5	141.5	144.5	3.0
494	2015-11-05	37,827,858	5,414,337,809	144.0	144.5	142.5	142.5	-2.00	12,575	2015-11-05	142.5	144.0	142.5	-1.5
495	2015-11-06	51,889,334	7,276,506,260	144.0	144.0	139.0	140.0	-2.50	12,543	2015-11-06	140.0	144.0	140.0	-4.0
496	2015-11-09	24,863,486	3,518,529,742	141.0	143.0	140.5	142.0	+2.00	8,727	2015-11-09	142.0	141.0	142.0	1.0
497	2015-11-10	23,336,811	3,261,350,610	141.5	141.5	139.0	139.5	-2.50	9,060	2015-11-10	139.5	141.5	139.5	-2.0
498	2015-11-11	29,463,476	4,066,008,922	140.5	140.5	136.5	137.5	-2.00	10,751	2015-11-11	137.5	140.5	137.5	-3.0
499	2015-11-12	16,485,910	2,284,668,490	138.5	139.0	138.0	138.5	+1.00	5,091	2015-11-12	138.5	138.5	138.5	0.0
500	2015-11-13	22,956,373	3,148,276,101	137.5	139.0	136.0	136.0	-2.50	7,418	2015-11-13	136.0	137.5	136.0	-1.5
501	2015-11-16	32,132,740	4,335,757,140	134.0	135.5	134.0	135.0	-1.00	13,597	2015-11-16	135.0	134.0	135.0	1.0
502	2015-11-17	28,224,719	3,926,485,043	138.0	140.0	137.5	138.5	+3.50	11,370	2015-11-17	138.5	138.0	138.5	0.5
503	2015-11-18	29,455,424	4,057,302,068	139.5	140.0	136.5	137.0	-1.50	9,025	2015-11-18	137.0	139.5	137.0	-2.5
504	2015-11-19	28,723,691	4,004,226,290	138.5	140.5	138.0	140.5	+3.50	9,283	2015-11-19	140.5	138.5	140.5	2.0
505	2015-11-20	21,649,438	3,041,708,710	140.5	141.0	140.0	141.0	+0.50	7,571	2015-11-20	141.0	140.5	141.0	0.5
506	2015-11-23	20,543,619	2,890,125,945	141.0	141.5	140.0	141.0	 0.00	4,707	2015-11-23	141.0	141.0	141.0	0.0
507	2015-11-24	23,245,808	3,261,352,468	140.0	141.5	139.5	139.5	-1.50	5,910	2015-11-24	139.5	140.0	139.5	-0.5
508	2015-11-25	34,540,578	4,841,255,700	139.5	141.0	138.5	141.0	+1.50	6,240	2015-11-25	141.0	139.5	141.0	1.5
509	2015-11-26	32,927,905	4,672,046,212	141.0	142.5	140.0	142.5	+1.50	9,850	2015-11-26	142.5	141.0	142.5	1.5
510	2015-11-27	26,742,675	3,747,289,825	143.0	143.0	139.0	139.0	-3.50	5,730	2015-11-27	139.0	143.0	139.0	-4.0
511	2015-11-30	110,350,217	15,219,982,613	136.5	139.0	136.0	139.0	 0.00	16,059	2015-11-30	139.0	136.5	139.0	2.5
